index,Topicos
1441,149
1442,151
1443,150
1444,149
1445,152
1446,149
1447,150
1448,150
1449,148
1832,149
1833,151
1834,150
1835,151
1836,149
1837,148
1838,150
1839,151
1840,152
1841,149
1842,149
1843,148
1844,150
777,156
778,158
779,156
780,158
781,157
782,157
783,153
784,155
785,155
786,153
787,155
788,156
789,158
790,158
791,157
792,155
793,157
794,158
795,157
796,153
797,154
798,155
799,157
800,156
801,155
802,154
803,157
804,153
805,158
806,156
807,157
808,153
809,157
810,155
811,154
812,158
1845,158
2003,154
2004,153
2005,156
2006,157
2007,157
2008,155
2009,157
2010,158
813,164
814,163
815,163
816,159
817,159
818,159
819,159
820,159
821,159
822,159
823,164
824,165
825,159
826,161
827,160
828,160
829,159
830,159
831,159
832,163
833,159
834,160
835,159
836,165
837,166
838,166
839,162
840,164
841,166
842,162
843,161
844,159
845,159
846,159
847,162
848,159
849,160
850,162
851,166
852,162
853,162
854,162
855,163
1939,161
1940,161
2011,159
2012,163
2013,161
2014,162
2015,159
2016,160
2017,166
2018,165
2019,165
2020,159
2021,159
2022,164
2023,160
2024,160
2025,160
2026,160
2027,162
2028,159
2029,166
2030,160
2031,162
939,168
940,173
941,173
942,173
943,168
944,170
945,167
946,172
947,172
948,170
949,172
950,170
951,171
952,172
953,167
954,171
955,172
956,173
957,169
958,172
959,173
960,171
961,172
962,172
963,173
964,167
965,173
966,172
967,173
968,167
969,173
970,167
971,169
972,173
973,173
974,172
975,170
976,173
977,167
978,167
979,169
980,171
981,167
982,169
983,174
984,173
985,169
1475,167
1476,173
1477,173
1478,173
1479,171
1480,173
1481,171
1482,172
1483,171
1484,171
1485,171
1486,172
1487,172
1861,169
1862,168
1212,177
1213,185
