,Palabra,Entidad,Empresa,Apariciones
686,consuegra,0,Ecopetrol,14
687,precio,0,Enel,14
688,mundo,0,Claro,14
689,precios,0,BBVA,14
690,cadena,0,D1,14
691,presidente,0,Claro,14
692,paso,0,Enel,14
693,busca,0,Ecopetrol,14
694,precios,0,Enel,14
695,precios,0,Falabella,14
696,juan,0,Bancolombia,14
697,presidente,0,Alkosto,14
698,precios,0,Terpel,14
699,empresa,0,Vanti,14
700,mujer,0,Caracol,14
701,millones,0,Grupo Argos,14
702,natural,0,Ecopetrol,14
703,mundo,0,Ecopetrol,14
704,celular,0,Nequi,14
705,hijos,0,Claro,14
706,mundo,0,Caracol,14
707,vida,0,Nequi,14
708,situación,0,Nequi,14
709,clientes,0,Nequi,14
710,generar,0,Ecopetrol,14
711,especialista,0,Ecopetrol,14
712,fútbol,0,Claro,14
713,experiencia,0,Alkosto,14
714,vida,0,Alkosto,14
715,autoridades,0,Davivienda,14
716,chile,1,Falabella,14
717,plazo,0,BBVA,14
718,gustavo,0,Enel,14
719,pareja,0,Claro,14
720,actividades,0,Ecopetrol,14
721,universidad,0,ETB,14
722,administración,0,Ecopetrol,14
723,virtuales,0,Credibanco,14
724,declaraciones,0,Caracol,14
725,bancos,0,Nequi,14
726,ayer,0,Ecopetrol,14
727,forma,0,Credibanco,14
728,forma,0,Falabella,14
729,alcaldía,0,ETB,14
730,generar,0,Falabella,14
731,valor,0,Enel,14
732,mercado,0,Alkosto,14
733,almacenes,0,Credibanco,14
734,forma,0,Terpel,14
735,colombiana,0,Enel,14
736,fenalco,1,Credibanco,14
737,comunicaciones,0,ETB,14
738,forma,0,Alkosto,14
739,vida,0,Falabella,14
740,producto,0,BBVA,14
741,energy,0,Ecopetrol,14
742,pandemia,0,Falabella,14
743,capacidad,0,Promigas,14
744,alcalde,0,ETB,14
745,millones,0,Davivienda,13
746,ropa,0,Falabella,13
747,transacciones,0,Nequi,13
748,compañía,0,Sodimac,13
749,mundo,0,Falabella,13
750,almacenes,0,Alkosto,13
751,pasar,0,Claro,13
752,detalles,0,Ecopetrol,13
753,viene,0,Caracol,13
754,autoridades,0,D1,13
755,principales,0,Ecopetrol,13
756,anunció,0,Ecopetrol,13
757,tipo,0,BBVA,13
758,decisión,0,Bancolombia,13
759,ocupar,0,Ecopetrol,13
760,informe,0,Credibanco,13
761,españa,0,Claro,13
762,destaca,0,Ecopetrol,13
763,crisis,0,Ecopetrol,13
764,desarrollo,0,Promigas,13
765,sector,0,Bancolombia,13
766,integración,0,Ecopetrol,13
767,vida,0,ETB,13
768,historia,0,Ecopetrol,13
769,general,0,Nequi,13
770,febrero,0,Ecopetrol,13
771,proceso,0,Bancolombia,13
772,momento,0,Vanti,13
773,distrito,0,ETB,13
774,líder,0,Ecopetrol,13
775,nivel,0,Enel,13
776,millones,0,Claro,13
777,número,0,Nequi,13
778,exfutbolista,0,Claro,13
779,recursos,0,Nequi,13
780,tercer,0,Ecopetrol,13
781,pago,0,Davivienda,13
782,país,0,Itau,13
783,mejores,0,Ecopetrol,13
784,atención,0,Claro,13
785,propósito,0,Bancolombia,13
786,tiendas,0,Credibanco,13
787,corporativo,0,Ecopetrol,13
788,sabía,0,Caracol,13
789,registró,0,Ecopetrol,13
790,finales,0,Ecopetrol,13
791,campaña,0,Ecopetrol,13
792,adelantar,0,Ecopetrol,13
793,presidente,0,Caracol,13
794,sector,0,Promigas,13
795,orden,0,Ecopetrol,13
796,comercio,0,BBVA,13
797,referencia,0,Ecopetrol,13
798,producción,0,Enel,13
799,servicio,0,Credibanco,13
800,ciento,0,BBVA,13
801,permite,0,Alkosto,13
802,establecimientos,0,Credibanco,13
803,capital,0,ETB,13
804,redes,0,Credibanco,13
805,comerciantes,0,Credibanco,13
806,destacó,0,Ecopetrol,13
807,proceso,0,Falabella,13
808,teniendo,0,Ecopetrol,13
809,expresidente,0,Ecopetrol,13
810,pasó,0,Ecopetrol,13
811,energética,0,Promigas,13
812,sentido,0,ETB,13
813,tecnología,0,ETB,13
814,grupo,0,Vanti,13
815,billones,0,Cencosud,13
816,participación,0,Enel,13
817,anunció,0,Bancolombia,13
818,fútbol,0,Caracol,13
819,mejores,0,Falabella,13
820,futuro,0,Enel,13
821,llegar,0,Caracol,13
822,analista,0,Ecopetrol,13
823,medidas,0,Credibanco,13
824,luis,0,Ecopetrol,13
825,información,0,Bancolombia,13
826,óptica,0,ETB,13
827,momento,0,Davivienda,13
828,redes,0,Davivienda,13
829,caso,0,Terpel,13
830,capital,0,BBVA,13
831,cotización,0,Ecopetrol,13
832,personal,0,Caracol,13
833,incertidumbre,0,Ecopetrol,13
834,ejemplo,0,Enel,13
835,región,0,Enel,13
836,colombianos,0,Ecopetrol,13
837,candidatos,0,Ecopetrol,13
838,región,0,Ecopetrol,13
839,trabajo,0,Enel,13
840,hora,0,Credibanco,13
841,servicios,0,Davivienda,13
842,servicios,0,Enel,13
843,incremento,0,Enel,13
844,importantes,0,Bancolombia,13
845,cargo,0,Enel,13
846,minas,0,Enel,13
847,ventas,0,Alkosto,13
848,gobierno,0,Alkosto,13
849,serie,0,Claro,13
850,entidad,0,Nequi,13
851,cargo,0,ETB,13
852,frente,0,Falabella,13
853,importante,0,Promigas,13
854,interés,0,Nequi,13
855,bogotá,1,Nequi,13
856,cerca,0,Falabella,13
857,comunidades,0,Enel,13
858,años,0,Bancolombia,13
859,bogotá,1,Falabella,13
860,sociales,0,Davivienda,13
861,mayores,0,Bancolombia,13
862,producto,0,Falabella,13
863,energías,0,Ecopetrol,13
864,pública,0,ETB,13
865,tiempo,0,Falabella,13
866,colombia,1,Davivienda,13
867,personas,0,Itau,13
868,público,0,Claro,13
869,jugador,0,Caracol,13
870,comunicación,0,Claro,13
871,banco,0,Credibanco,13
872,banco,0,Cencosud,13
873,puntos,0,Ecopetrol,13
874,video,0,Caracol,13
875,promedio,0,Enel,13
876,experiencia,0,ETB,13
877,situación,0,Enel,13
878,compañía,0,Alkosto,13
879,servicios,0,Falabella,13
880,entidades,0,Bancolombia,13
881,información,0,Davivienda,13
882,colombiana,0,Alkosto,13
883,nacional,0,Grupo Argos,13
884,tarjetas,0,BBVA,13
